time_aest,location,element_id,tuflow_cell_number,x,y,bed_elevation_m,variable,level,unit,target_z_m,tuflow,schism,schism_minus_tuflow,schism_valid_nodes
2011-05-01 01:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9445920063,10.0000942040,10.0000000000,-0.0000942040,4
2011-05-01 02:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0251089421,9.8409575520,10.0000000000,0.1590424480,4
2011-05-01 03:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0278679774,9.8919632112,9.9998748807,0.1079116695,4
2011-05-01 04:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0450220531,9.5545472161,9.9914406456,0.4368934295,4
2011-05-01 05:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0257286438,9.3249537159,9.9156842597,0.5907305438,4
2011-05-01 06:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0025266777,8.8972170410,9.5283446014,0.6311275604,4
2011-05-01 07:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9684411247,8.4833809527,8.7281382782,0.2447573255,4
2011-05-01 08:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9385963729,8.2378819506,7.5147731996,-0.7231087510,4
2011-05-01 09:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9137060674,8.0272547339,6.2831179765,-1.7441367574,4
2011-05-01 10:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9048410655,7.7329687570,5.2032395889,-2.5297291681,4
2011-05-01 11:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9077938822,7.4166038438,4.3937155252,-3.0228883186,4
2011-05-01 12:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9246805008,7.0136248253,3.8252795784,-3.1883452469,4
2011-05-01 13:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9563806855,6.6085346695,3.3936802520,-3.2148544175,4
2011-05-01 14:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9826495491,6.2157452798,3.0382717410,-3.1774735387,4
2011-05-01 15:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0043129338,5.8389114861,2.7334573654,-3.1054541207,4
2011-05-01 16:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0157193118,5.6104610559,2.4916349646,-3.1188260914,4
2011-05-01 17:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0104816165,5.4743300192,2.3074505125,-3.1668795067,4
2011-05-01 18:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9927460754,5.3720593488,2.1592960955,-3.2127632533,4
2011-05-01 19:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9574977487,5.2893486897,2.0442054816,-3.2451432081,4
2011-05-01 20:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9303455628,5.1288625081,1.9549809654,-3.1738815427,4
2011-05-01 21:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9017026922,5.0456635079,1.9026120442,-3.1430514637,4
2011-05-01 22:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.8881973271,4.9201193287,1.8959017583,-3.0242175705,4
2011-05-01 23:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.8925610895,4.8275491604,1.9112745310,-2.9162746294,4
2011-05-02 00:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9151612275,4.7466709533,1.8987948416,-2.8478761116,4
2011-05-02 01:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9466194102,4.7172671626,1.8411848406,-2.8760823219,4
2011-05-02 02:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9810451344,4.8504508879,1.7630798439,-3.0873710440,4
2011-05-02 03:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0064388374,5.1194668987,1.6723891895,-3.4470777091,4
2011-05-02 04:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0268170825,5.5164050272,1.5978784085,-3.9185266187,4
2011-05-02 05:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0314894116,6.0614591938,1.5391826696,-4.5222765243,4
2011-05-02 06:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-2.0194999086,6.4455082874,1.4813934818,-4.9641148056,4
2011-05-02 07:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9919146331,6.7624537636,1.4255100323,-5.3369437313,4
2011-05-02 08:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9559740201,7.0273505203,1.3823125747,-5.6450379457,4
2011-05-02 09:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9240275237,7.2181138347,1.3608468713,-5.8572669634,4
2011-05-02 10:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.9008776972,7.3185649350,1.3777615875,-5.9408033474,4
2011-05-02 11:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.8917012132,7.3753749887,1.4429633669,-5.9324116218,4
2011-05-02 12:00:00,Upper,113,113,159.1259612203,-31.4329771431,-3.9888591766,Salinity,Mid-depth,psu,-1.8984998403,7.4085040583,1.5053709128,-5.9031331456,4
