location,variable,level,n,bias_schism_minus_tuflow,mae,rmse,maximum_absolute_error,correlation,minimum_schism_valid_nodes,maximum_schism_valid_nodes
Lower,Salinity,Mid-depth,144,-7.8609539548,7.8609539548,10.3123292140,24.5339628145,0.5553985708,4,4
Lower,Salinity,Near-bottom,144,-7.4603416328,7.4603416328,10.2581548963,24.9290619214,0.2578130634,2,2
Lower,Salinity,Surface,144,4.2335736543,6.9774664031,8.2651000992,20.8190794874,0.2282385726,4,4
Lower,Temperature,Mid-depth,144,-1.0288576255,1.0288576255,1.5861496023,5.1219448976,0.7223885055,4,4
Lower,Temperature,Near-bottom,144,-0.9867647454,0.9867647454,1.5885404945,5.2154267321,-0.0441685379,2,2
Lower,Temperature,Surface,144,1.1895861158,1.3123024698,1.6528777497,3.5011186410,0.5139718625,4,4
Lower,Vx,Mid-depth,144,-0.0249162161,0.0250561583,0.0314029226,0.1431937500,0.7470370987,4,4
Lower,Vx,Near-bottom,144,-0.0155557029,0.0313678723,0.0365720295,0.1074080503,0.5223295755,2,2
Lower,Vx,Surface,144,0.0680770723,0.0680770723,0.0706142201,0.1417873938,0.7478374696,4,4
Lower,Vy,Mid-depth,144,0.0979576046,0.0979576046,0.1077185933,0.3641321243,0.6096607336,4,4
Lower,Vy,Near-bottom,144,0.0131924847,0.0303125549,0.0450399734,0.2290799544,0.5784092890,2,2
Lower,Vy,Surface,144,-0.1584777218,0.1584777218,0.1654260728,0.3988122010,0.8332848747,4,4
Lower,Vz,Mid-depth,144,-0.0000962550,0.0002250184,0.0002707783,0.0005171075,0.3823330922,4,4
Lower,Vz,Near-bottom,144,0.0000986802,0.0001108703,0.0001291428,0.0002355980,-0.6067110320,2,2
Lower,Vz,Surface,144,0.0000278183,0.0001018547,0.0001185322,0.0002386443,0.1599905883,4,4
Lower,Water level,2D,144,0.0082286152,0.0102381453,0.0141735808,0.0312790891,0.9954898841,4,4
Middle,Salinity,Mid-depth,144,-15.3402347938,15.3402347938,16.2375706371,23.2673903218,-0.3465734520,2,3
Middle,Salinity,Near-bottom,144,-24.9315157096,24.9315157096,25.7173869132,31.5707226410,-0.1922576881,2,2
Middle,Salinity,Surface,144,-7.8618733306,7.8618733306,9.1834405830,15.3586385577,-0.6398070966,4,4
Middle,Temperature,Mid-depth,144,-2.5890700569,2.5890700569,3.5336676502,7.1856205281,0.9271613849,2,3
Middle,Temperature,Near-bottom,144,-4.4055319055,4.4055319055,5.4792218002,9.7784186606,0.7770830282,2,2
Middle,Temperature,Surface,144,-0.8474911714,1.7264592506,2.2656490166,4.9046129893,0.8418027086,4,4
Middle,Vx,Mid-depth,144,-0.0204628379,0.0212011864,0.0243829292,0.0528855400,0.9366435081,2,3
Middle,Vx,Near-bottom,144,-0.0334810911,0.0341518700,0.0411956935,0.1030705290,0.5375262200,2,2
Middle,Vx,Surface,144,0.1054709198,0.1058647215,0.1080345717,0.1454289980,0.7633074346,4,4
Middle,Vy,Mid-depth,144,0.0194898778,0.0198972927,0.0211522896,0.0347664312,0.9118334932,2,3
Middle,Vy,Near-bottom,144,0.0113859853,0.0157918287,0.0190978713,0.0419130688,0.0771587710,2,2
Middle,Vy,Surface,144,-0.0610714076,0.0612341736,0.0627056935,0.0854783089,0.6784793058,4,4
Middle,Vz,Mid-depth,144,-0.0000405022,0.0000429427,0.0000554718,0.0002384090,0.3727957206,2,3
Middle,Vz,Near-bottom,144,0.0000001435,0.0000205510,0.0000280552,0.0001647495,0.4061872842,2,2
Middle,Vz,Surface,144,-0.0000402321,0.0000402489,0.0000462577,0.0001071515,0.2602100114,4,4
Middle,Water level,2D,144,0.0350454037,0.0355254334,0.0373666825,0.0605579663,0.9917702772,4,4
Upper,Salinity,Mid-depth,144,-7.0875467554,7.1176920745,7.5919428090,9.9228457544,-0.1497912209,4,4
Upper,Salinity,Near-bottom,144,-20.7765111775,20.7775480826,22.5189380823,27.1763504005,-0.6844950018,3,3
Upper,Salinity,Surface,144,-0.4228312127,1.2465520205,1.5522745083,5.6606226777,0.7299674261,4,4
Upper,Temperature,Mid-depth,144,-3.1751755979,3.1914045609,3.2933116462,4.9562297172,0.9499483602,4,4
Upper,Temperature,Near-bottom,144,-8.1796558138,8.1796558138,8.4274679778,9.3312201804,0.7955339595,3,3
Upper,Temperature,Surface,144,-0.0587073780,0.7630094407,1.1915192767,5.4121561048,0.8992967591,4,4
Upper,Vx,Mid-depth,144,-0.0000762602,0.0063377178,0.0086265875,0.0386173370,0.2154133233,4,4
Upper,Vx,Near-bottom,144,-0.0242643734,0.0242976395,0.0247122681,0.0310595635,0.3833172683,3,3
Upper,Vx,Surface,144,0.0323149443,0.0323149443,0.0328252445,0.0495339564,0.7637392255,4,4
Upper,Vy,Mid-depth,144,0.0250874451,0.0252598904,0.0256400780,0.0441484119,0.8415301856,4,4
Upper,Vy,Near-bottom,144,0.0301261567,0.0302237951,0.0307400770,0.0434446910,0.2367038535,3,3
Upper,Vy,Surface,144,-0.0566599890,0.0566687196,0.0577849095,0.0753655486,0.5475060498,4,4
Upper,Vz,Mid-depth,144,-0.0000407037,0.0000427603,0.0000523512,0.0001700432,0.0702389025,4,4
Upper,Vz,Near-bottom,144,-0.0000741896,0.0000766831,0.0000842437,0.0002030256,0.1338682973,3,3
Upper,Vz,Surface,144,-0.0000650834,0.0000656948,0.0000687876,0.0001341957,0.3569369224,4,4
Upper,Water level,2D,144,0.0348555593,0.0361520901,0.0394575072,0.0715826632,0.9842991464,4,4
