time_aest,location,bed_elevation_m,tuflow_water_level_m,schism_water_level_m,reference_surface_m,surface_target_z_m,mid_depth_target_z_m,near_bottom_target_z_m
2011-05-01 01:00:00,Lower,-6.6967954636,-0.0147047043,-0.0128630950,-0.0137838996,-0.5137838996,-3.3552896816,-6.1967954636
2011-05-01 02:00:00,Lower,-6.6967954636,-0.0708718300,-0.0667234462,-0.0687976381,-0.5687976381,-3.3827965508,-6.1967954636
2011-05-01 03:00:00,Lower,-6.6967954636,-0.0972084999,-0.0987172407,-0.0979628703,-0.5979628703,-3.3973791669,-6.1967954636
2011-05-01 04:00:00,Lower,-6.6967954636,-0.1096329689,-0.0879764509,-0.0988047099,-0.5988047099,-3.3978000867,-6.1967954636
2011-05-01 05:00:00,Lower,-6.6967954636,-0.0883188248,-0.0816602204,-0.0849895226,-0.5849895226,-3.3908924931,-6.1967954636
2011-05-01 06:00:00,Lower,-6.6967954636,-0.0289258957,-0.0297812387,-0.0293535672,-0.5293535672,-3.3630745154,-6.1967954636
2011-05-01 07:00:00,Lower,-6.6967954636,0.0308022499,0.0274381930,0.0291202215,-0.4708797785,-3.3338376210,-6.1967954636
2011-05-01 08:00:00,Lower,-6.6967954636,0.0906629562,0.0864797602,0.0885713582,-0.4114286418,-3.3041120527,-6.1967954636
2011-05-01 09:00:00,Lower,-6.6967954636,0.1305623055,0.1275920878,0.1290771966,-0.3709228034,-3.2838591335,-6.1967954636
2011-05-01 10:00:00,Lower,-6.6967954636,0.1406083107,0.1399527715,0.1402805411,-0.3597194589,-3.2782574612,-6.1967954636
2011-05-01 11:00:00,Lower,-6.6967954636,0.1306805611,0.1323497650,0.1315151630,-0.3684848370,-3.2826401503,-6.1967954636
2011-05-01 12:00:00,Lower,-6.6967954636,0.0808386803,0.0899742186,0.0854064494,-0.4145935506,-3.3056945071,-6.1967954636
2011-05-01 13:00:00,Lower,-6.6967954636,0.0208940506,0.0387488550,0.0298214528,-0.4701785472,-3.3334870054,-6.1967954636
2011-05-01 14:00:00,Lower,-6.6967954636,-0.0291004181,-0.0046901640,-0.0168952911,-0.5168952911,-3.3568453773,-6.1967954636
2011-05-01 15:00:00,Lower,-6.6967954636,-0.0689587593,-0.0423349033,-0.0556468313,-0.5556468313,-3.3762211474,-6.1967954636
2011-05-01 16:00:00,Lower,-6.6967954636,-0.0791397095,-0.0618608978,-0.0705003037,-0.5705003037,-3.3836478836,-6.1967954636
2011-05-01 17:00:00,Lower,-6.6967954636,-0.0690870285,-0.0635590831,-0.0663230558,-0.5663230558,-3.3815592597,-6.1967954636
2011-05-01 18:00:00,Lower,-6.6967954636,-0.0194015503,-0.0193458269,-0.0193736886,-0.5193736886,-3.3580845761,-6.1967954636
2011-05-01 19:00:00,Lower,-6.6967954636,0.0409355164,0.0374784707,0.0392069935,-0.4607930065,-3.3287942350,-6.1967954636
2011-05-01 20:00:00,Lower,-6.6967954636,0.1005563736,0.0967341226,0.0986452481,-0.4013547519,-3.2990751077,-6.1967954636
2011-05-01 21:00:00,Lower,-6.6967954636,0.1507377625,0.1471719614,0.1489548619,-0.3510451381,-3.2739203008,-6.1967954636
2011-05-01 22:00:00,Lower,-6.6967954636,0.1703734398,0.1692549371,0.1698141884,-0.3301858116,-3.2634906376,-6.1967954636
2011-05-01 23:00:00,Lower,-6.6967954636,0.1503853798,0.1530279618,0.1517066708,-0.3482933292,-3.2725443964,-6.1967954636
2011-05-02 00:00:00,Lower,-6.6967954636,0.1005349159,0.1106791772,0.1056070466,-0.3943929534,-3.2955942085,-6.1967954636
2011-05-02 01:00:00,Lower,-6.6967954636,0.0311203003,0.0496640187,0.0403921595,-0.4596078405,-3.3282016520,-6.1967954636
2011-05-02 02:00:00,Lower,-6.6967954636,-0.0290679932,-0.0032457892,-0.0161568912,-0.5161568912,-3.3564761774,-6.1967954636
2011-05-02 03:00:00,Lower,-6.6967954636,-0.0790429115,-0.0494704626,-0.0642566870,-0.5642566870,-3.3805260753,-6.1967954636
2011-05-02 04:00:00,Lower,-6.6967954636,-0.1093664169,-0.0813242580,-0.0953453375,-0.5953453375,-3.3960704005,-6.1967954636
2011-05-02 05:00:00,Lower,-6.6967954636,-0.1091685295,-0.0970002662,-0.1030843978,-0.6030843978,-3.3999399307,-6.1967954636
2011-05-02 06:00:00,Lower,-6.6967954636,-0.0792541504,-0.0768494077,-0.0780517791,-0.5780517791,-3.3874236213,-6.1967954636
2011-05-02 07:00:00,Lower,-6.6967954636,-0.0192465782,-0.0210807069,-0.0201636426,-0.5201636426,-3.3584795531,-6.1967954636
2011-05-02 08:00:00,Lower,-6.6967954636,0.0503821373,0.0464578997,0.0484200185,-0.4515799815,-3.3241877225,-6.1967954636
2011-05-02 09:00:00,Lower,-6.6967954636,0.1104326248,0.1065562391,0.1084944319,-0.3915055681,-3.2941505158,-6.1967954636
2011-05-02 10:00:00,Lower,-6.6967954636,0.1505866051,0.1474366286,0.1490116168,-0.3509883832,-3.2738919234,-6.1967954636
