time_aest,model,level,normal_velocity_inward_positive_ms,salinity_psu,temperature_degC,salt_advection_index_psu_ms,valid_segment_count
2011-05-01 01:00:00,SCHISM,Mid-depth,-0.0831136549,21.0287626429,19.9548149585,-1.6564458199,6
2011-05-01 02:00:00,SCHISM,Mid-depth,-0.0809085201,12.2765398668,19.9093124777,-0.9832120691,6
2011-05-01 03:00:00,SCHISM,Mid-depth,-0.0421579058,10.6431168667,19.8650639745,-0.4449889653,6
2011-05-01 04:00:00,SCHISM,Mid-depth,-0.0325346595,23.1371957645,19.9139131952,0.6734019346,6
2011-05-01 05:00:00,SCHISM,Mid-depth,-0.0165378907,29.8067508093,19.9420450374,0.2369172962,6
2011-05-01 06:00:00,SCHISM,Mid-depth,0.0096920782,30.9921782887,19.9455105957,0.9856316386,6
2011-05-01 07:00:00,SCHISM,Mid-depth,0.0152985974,32.1774513410,19.9515079265,0.9398398147,6
2011-05-01 08:00:00,SCHISM,Mid-depth,0.0176642286,33.0697109245,19.9557893290,0.8495255201,6
2011-05-01 09:00:00,SCHISM,Mid-depth,-0.0016436618,32.9127916688,19.9497880058,0.2282291935,6
2011-05-01 10:00:00,SCHISM,Mid-depth,-0.0360500149,31.9927049975,19.9415462627,-0.7646983214,6
2011-05-01 11:00:00,SCHISM,Mid-depth,-0.0571797610,30.6282032591,19.9205638262,-1.3756389591,6
2011-05-01 12:00:00,SCHISM,Mid-depth,-0.1007088890,29.1623712236,19.8929278088,-2.4930892725,6
2011-05-01 13:00:00,SCHISM,Mid-depth,-0.1123933892,28.1586732126,19.8719963298,-2.7130527098,6
2011-05-01 14:00:00,SCHISM,Mid-depth,-0.1065361517,27.7373706077,19.8642885834,-2.4272271137,6
2011-05-01 15:00:00,SCHISM,Mid-depth,-0.0996853398,27.7725543232,19.8632746817,-2.1163162106,6
2011-05-01 16:00:00,SCHISM,Mid-depth,-0.0675381516,28.2811104809,19.8684448083,-1.1859656924,6
2011-05-01 17:00:00,SCHISM,Mid-depth,-0.0441574186,29.3412797592,19.8766965389,-0.5785592448,6
2011-05-01 18:00:00,SCHISM,Mid-depth,0.0013165431,31.4071535032,19.9057554628,0.6677266854,6
2011-05-01 19:00:00,SCHISM,Mid-depth,0.0123415754,32.8040482240,19.9234688880,0.7410488499,6
2011-05-01 20:00:00,SCHISM,Mid-depth,0.0171338517,33.3979262755,19.9244249079,0.7849981297,6
2011-05-01 21:00:00,SCHISM,Mid-depth,0.0079939653,33.1842937380,19.9072611713,0.5119091637,6
2011-05-01 22:00:00,SCHISM,Mid-depth,-0.0256542076,32.3603176052,19.8751875757,-0.4789809939,6
2011-05-01 23:00:00,SCHISM,Mid-depth,-0.0700481505,30.6371412343,19.7943237928,-1.7896884999,6
2011-05-02 00:00:00,SCHISM,Mid-depth,-0.1001200984,29.2754274612,19.7264573339,-2.5016697244,6
2011-05-02 01:00:00,SCHISM,Mid-depth,-0.1226883465,27.9489071526,19.6569730080,-2.9882463405,6
