model,level,segment_number,element_id,cell_number_one_based,cell_x,cell_y,record_count,mean_normal_velocity_ms,inward_time_fraction,mean_salinity_psu,mean_salt_advection_index_psu_ms
SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,144,-0.2252820101,0.0000000000,23.6442582222,-5.1657511604
SCHISM,Mid-depth,2,1367,1367,159.0749194015,-31.3583710132,144,-0.1681742343,0.0000000000,26.3801158466,-4.2628954846
SCHISM,Mid-depth,3,1371,1371,159.0742051648,-31.3586511256,144,-0.0417912109,0.2361111111,31.0242977423,-1.1768280303
SCHISM,Mid-depth,4,1374,1374,159.0734911308,-31.3589311086,144,0.0665412944,0.9722222222,33.4586628137,2.2965413735
SCHISM,Mid-depth,5,1375,1375,159.0727767800,-31.3592110427,144,0.0706441080,0.8541666667,33.0186031899,2.4485492777
SCHISM,Mid-depth,6,1373,1373,159.0720625542,-31.3594911378,144,0.0092577539,0.5277777778,31.7882509890,0.5575634417
SCHISM,Near-bottom,1,1362,1362,159.0756337406,-31.3580910955,144,-0.2232208801,0.0000000000,23.6468965296,-5.1184931325
SCHISM,Near-bottom,2,1367,1367,159.0749194015,-31.3583710132,144,-0.1106123969,0.0069444444,29.1206657428,-3.0288887609
SCHISM,Near-bottom,3,1371,1371,159.0742051648,-31.3586511256,144,0.0202994962,0.7638888889,31.3432895732,0.6921087965
SCHISM,Near-bottom,4,1374,1374,159.0734911308,-31.3589311086,144,0.0722578441,0.9791666667,33.4380283520,2.4621712610
SCHISM,Near-bottom,5,1375,1375,159.0727767800,-31.3592110427,144,0.0834548099,0.9444444444,33.5965008861,2.8963175580
SCHISM,Near-bottom,6,1373,1373,159.0720625542,-31.3594911378,144,0.0405687039,0.5763888889,32.0589191320,1.5148851952
SCHISM,Surface,1,1362,1362,159.0756337406,-31.3580910955,144,-0.2358045426,0.0000000000,23.0371333097,-5.3102028818
SCHISM,Surface,2,1367,1367,159.0749194015,-31.3583710132,144,-0.1745703222,0.0000000000,26.3701891208,-4.4231451860
SCHISM,Surface,3,1371,1371,159.0742051648,-31.3586511256,144,-0.0479925431,0.2291666667,31.0106463231,-1.3585313055
SCHISM,Surface,4,1374,1374,159.0734911308,-31.3589311086,144,0.0611651520,0.9375000000,33.4466699897,2.1253055619
SCHISM,Surface,5,1375,1375,159.0727767800,-31.3592110427,144,0.0645073052,0.7500000000,33.0026633061,2.2596726211
SCHISM,Surface,6,1373,1373,159.0720625542,-31.3594911378,144,-0.0262492422,0.4583333333,31.1900877125,-0.4524311455
TUFLOW,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,144,-0.1060457678,0.0347222222,25.5241746578,-2.5911823760
TUFLOW,Mid-depth,2,1367,1367,159.0749194015,-31.3583710132,144,0.0283482998,0.5972222222,33.0766105639,1.0344562319
TUFLOW,Mid-depth,3,1371,1371,159.0742051648,-31.3586511256,144,0.0391355475,0.6666666667,34.4419285349,1.3651356666
TUFLOW,Mid-depth,4,1374,1374,159.0734911308,-31.3589311086,144,0.1144528257,1.0000000000,34.8518594968,3.9901872341
TUFLOW,Mid-depth,5,1375,1375,159.0727767800,-31.3592110427,144,0.0690295272,0.9930555556,34.8463802128,2.4064224167
TUFLOW,Mid-depth,6,1373,1373,159.0720625542,-31.3594911378,144,-0.0418747473,0.1666666667,33.0259153823,-1.3285555437
TUFLOW,Near-bottom,1,1362,1362,159.0756337406,-31.3580910955,144,-0.0698580861,0.0902777778,29.5291887995,-1.9403732396
TUFLOW,Near-bottom,2,1367,1367,159.0749194015,-31.3583710132,144,0.0570349463,0.9513888889,34.9269734881,1.9921542029
TUFLOW,Near-bottom,3,1371,1371,159.0742051648,-31.3586511256,144,0.0656803417,0.9722222222,34.9972750740,2.2985442400
TUFLOW,Near-bottom,4,1374,1374,159.0734911308,-31.3589311086,0,,,,
TUFLOW,Near-bottom,5,1375,1375,159.0727767800,-31.3592110427,0,,,,
TUFLOW,Near-bottom,6,1373,1373,159.0720625542,-31.3594911378,144,0.0133618786,0.7569444444,34.9549660987,0.4666426777
TUFLOW,Surface,1,1362,1362,159.0756337406,-31.3580910955,144,-0.1295340135,0.0069444444,22.5198541102,-2.8357174611
TUFLOW,Surface,2,1367,1367,159.0749194015,-31.3583710132,144,-0.1400573261,0.0416666667,23.4620177932,-3.1058130443
TUFLOW,Surface,3,1371,1371,159.0742051648,-31.3586511256,144,-0.2157504195,0.0000000000,23.3045123829,-4.8622412942
TUFLOW,Surface,4,1374,1374,159.0734911308,-31.3589311086,144,-0.1502079306,0.0138888889,23.1703689045,-3.3311522448
TUFLOW,Surface,5,1375,1375,159.0727767800,-31.3592110427,144,-0.1709853747,0.0000000000,23.1462409880,-3.8011517073
TUFLOW,Surface,6,1373,1373,159.0720625542,-31.3594911378,144,-0.1821582918,0.0000000000,23.0283739213,-4.0532050305
