time_aest,model,level,segment_number,element_id,cell_number_one_based,cell_x,cell_y,segment_length_m,normal_x,normal_y,tuflow_water_level_m,schism_water_level_m,common_surface_z_m,common_bed_z_m,target_z_m,normal_velocity_inward_positive_ms,salinity_psu,temperature_degC,salt_advection_index_psu_ms,valid_support
2011-05-01 01:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0214861631,-0.0185670340,-0.0200265986,-1.7694287714,-0.8947276850,-0.1206955500,15.7998383865,19.9258875311,-1.9069701846,2
2011-05-01 02:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0720093250,-0.0693796657,-0.0706944954,-1.7694287714,-0.9200616334,-0.0920630060,11.2708681952,19.8635310065,-1.0376300067,2
2011-05-01 03:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.1009180546,-0.0997873350,-0.1003526948,-1.7694287714,-0.9348907331,-0.0500784298,10.3913241952,19.8000540187,-0.5203811990,2
2011-05-01 04:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.1114475727,-0.1014612285,-0.1064544006,-1.7694287714,-0.9379415860,-0.2874122914,12.7834088162,19.8230130794,-3.6741088194,2
2011-05-01 05:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0905361176,-0.0828738808,-0.0867049992,-1.7694287714,-0.9280668853,-0.2274696953,20.1247710921,19.8491202395,-4.5777755484,2
2011-05-01 06:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0306510925,-0.0231742355,-0.0269126640,-1.7694287714,-0.8981707177,-0.2107647377,22.2549864001,19.8455544637,-4.6905663702,2
2011-05-01 07:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.0291899443,0.0356631318,0.0324265380,-1.7694287714,-0.8685011167,-0.1794814305,25.4599405424,19.8567536883,-4.5695865486,2
2011-05-01 08:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.0892794132,0.0945764753,0.0919279443,-1.7694287714,-0.8387504135,-0.1471285734,28.0264328769,19.8656262416,-4.1234890874,2
2011-05-01 09:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.1292392015,0.1351972822,0.1322182419,-1.7694287714,-0.8186052648,-0.1652423467,27.4931719286,19.8460886375,-4.5430362485,2
2011-05-01 10:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.1393595934,0.1466308114,0.1429952024,-1.7694287714,-0.8132167845,-0.2098090644,25.2940583848,19.8386539012,-5.3069227240,2
2011-05-01 11:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.1294111013,0.1371844498,0.1332977756,-1.7694287714,-0.8180654979,-0.2214476069,23.7373060526,19.8268876772,-5.2565696205,2
2011-05-01 12:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.0792822838,0.0878403383,0.0835613110,-1.7694287714,-0.8429337302,-0.2642585188,21.8249001971,19.7794077212,-5.7674157987,2
2011-05-01 13:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,0.0194637775,0.0279978814,0.0237308295,-1.7694287714,-0.8728489709,-0.2797664104,21.4210349243,19.7563319156,-5.9928860487,2
2011-05-01 14:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0307029486,-0.0218320681,-0.0262675083,-1.7694287714,-0.8978481399,-0.2911076028,20.9936348046,19.7412893210,-6.1114067011,2
2011-05-01 15:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0704469681,-0.0615592111,-0.0660030896,-1.7694287714,-0.9177159305,-0.3023082807,20.2509418867,19.7218640850,-6.1220274237,2
2011-05-01 16:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0804945230,-0.0714298020,-0.0759621625,-1.7694287714,-0.9226954670,-0.2897014470,20.1621144082,19.7127328169,-5.8409937181,2
2011-05-01 17:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0705354214,-0.0614421521,-0.0659887867,-1.7694287714,-0.9177087791,-0.2705828938,21.0430094304,19.7091153439,-5.6938783860,2
2011-05-01 18:00:00,SCHISM,Mid-depth,1,1362,1362,159.0756337406,-31.3580910955,75.5267870596,0.4146341082,-0.9099882177,-0.0204366446,-0.0124179278,-0.0164272862,-1.7694287714,-0.8929280288,-0.2318589992,24.0580555148,19.7342708859,-5.5780766735,2
